numero	saison	player_id	player	round	lat	lng	country_code	guess_lat	guess_lng	distance
1	0	61f34541904c1e0001f465da	Comte	1	46.759781953932055	13.253481632854967	at	47.303704690539874	13.019948421681349	63.017966016192275
1	0	61f34541904c1e0001f465da	Comte	2	5.743418045943024	-0.23521770722019306	gh	6.98237637764922	-1.6788771469510344	210.78662586031183
1	0	61f34541904c1e0001f465da	Comte	3	-22.74630745202585	-45.59469346066035	br	-22.771501557595485	-51.68402777721707	624.3466780273513
1	0	61f34541904c1e0001f465da	Comte	4	52.328361782684595	-4.097716761596929	gb	49.78155861230482	5.371929217757554	719.2137428791992
1	0	61f34541904c1e0001f465da	Comte	5	13.031573001841403	107.0293081602249	kh	16.511866498427743	-15.00765745081722	12849.327090461336
1	0	68f2e3307b1dd2467d0fc0f5	Etterima	1	46.759781953932055	13.253481632854967	at	46.839629931719394	9.214192353126718	307.5592009170369
1	0	68f2e3307b1dd2467d0fc0f5	Etterima	2	5.743418045943024	-0.23521770722019306	gh	7.000682599839213	-2.531197139879675	289.6852679289137
1	0	68f2e3307b1dd2467d0fc0f5	Etterima	3	-22.74630745202585	-45.59469346066035	br	-25.383032923124286	-51.47799188302554	665.2939593143168
1	0	68f2e3307b1dd2467d0fc0f5	Etterima	4	52.328361782684595	-4.097716761596929	gb	45.66810959719322	1.950639283241049	861.3782849245696
1	0	68f2e3307b1dd2467d0fc0f5	Etterima	5	13.031573001841403	107.0293081602249	kh	-23.603032739286185	23.368502609756224	9954.748852164772
2	0	68f2e3307b1dd2467d0fc0f5	Etterima	1	51.3822899	30.1180992	ua	51.27215064109847	30.221128281026022	14.185713772152814
2	0	68f2e3307b1dd2467d0fc0f5	Etterima	2	9.711649999999999	79.8479981	lk	31.42696983395195	-86.25756063336966	15207.199370188893
2	0	68f2e3307b1dd2467d0fc0f5	Etterima	3	42.5137945	45.45474910000007	ge	45.605583715002815	6.85185243655714	3073.6676881390727
2	0	68f2e3307b1dd2467d0fc0f5	Etterima	4	25.09128252830659	-104.5785568035194	mx	22.93840380017515	-101.92090376027478	360.77364694067796
2	0	68f2e3307b1dd2467d0fc0f5	Etterima	5	22.5539778062233	114.15564948821398	hk	22.34393555762394	114.17456640972173	23.436402225903137
2	0	61f34541904c1e0001f465da	Comte	1	51.3822899	30.1180992	ua	40.64197805195584	30.917025835994806	1195.8410901871193
2	0	61f34541904c1e0001f465da	Comte	2	9.711649999999999	79.8479981	lk	20.079613186556344	-75.83202688319939	15765.714772853715
2	0	61f34541904c1e0001f465da	Comte	3	42.5137945	45.45474910000007	ge	-13.381399001621173	-72.68355709731898	13303.598016897886
2	0	61f34541904c1e0001f465da	Comte	4	25.09128252830659	-104.5785568035194	mx	25.372952247439486	-100.16190721565913	445.33344638135793
2	0	61f34541904c1e0001f465da	Comte	5	22.5539778062233	114.15564948821398	hk	22.399097531095506	114.17507429330092	17.337166191126446
3	0	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	1	25.035316008103088	121.5179020694745	tw	51.46110658010312	-0.11488966226852249	9784.940344040815
3	0	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	2	14.171686398815693	145.2588007543503	mp	15.496680975247978	120.62664790599396	2650.349537367199
3	0	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	3	27.965082592714634	-114.04458656849759	mx	1.62387703874394	99.27693916242988	15169.518625824345
3	0	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	4	54.678177943811484	-2.440938898524867	gb	57.533455886259	-2.448367578688617	317.4927550032856
3	0	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	5	39.995480840049055	16.383279687954406	it	42.609370820921825	-6.406571743006239	1919.7884923929696
3	0	61f34541904c1e0001f465da	Comte	1	25.035316008103088	121.5179020694745	tw	1.3260373935697345	103.79977940103754	3250.6923882190804
3	0	61f34541904c1e0001f465da	Comte	2	14.171686398815693	145.2588007543503	mp	0.12196679638546608	-78.1710138057638	14979.733444273928
3	0	61f34541904c1e0001f465da	Comte	3	27.965082592714634	-114.04458656849759	mx	18.71489020328527	-88.19411674963206	2825.05258636599
3	0	61f34541904c1e0001f465da	Comte	4	54.678177943811484	-2.440938898524867	gb	39.38336364132917	45.490413309963515	3914.3238300316757
3	0	61f34541904c1e0001f465da	Comte	5	39.995480840049055	16.383279687954406	it	42.325675266041706	9.205824722694528	654.0654504953403
3	0	5fd92523f4c2960001e34146	bb1066	1	25.035316008103088	121.5179020694745	tw	47.50520852759141	19.14795206102699	8848.596086348907
3	0	5fd92523f4c2960001e34146	bb1066	2	14.171686398815693	145.2588007543503	mp	0.3214938422760486	-79.88826244798089	14792.778059826009
3	0	5fd92523f4c2960001e34146	bb1066	3	27.965082592714634	-114.04458656849759	mx	18.47066537154819	-66.59437959567929	4931.623210826124
3	0	5fd92523f4c2960001e34146	bb1066	4	54.678177943811484	-2.440938898524867	gb	64.34209131080023	-21.499857050919232	1508.8525506962014
3	0	5fd92523f4c2960001e34146	bb1066	5	39.995480840049055	16.383279687954406	it	48.26987896266456	17.778077946265164	926.7358185718988
3	0	68f2e3307b1dd2467d0fc0f5	Etterima	1	25.035316008103088	121.5179020694745	tw	35.36113939148009	-81.46744329758604	12877.07602490353
3	0	68f2e3307b1dd2467d0fc0f5	Etterima	2	14.171686398815693	145.2588007543503	mp	-2.7591586117794997	120.57778802454125	3308.207919284651
3	0	68f2e3307b1dd2467d0fc0f5	Etterima	3	27.965082592714634	-114.04458656849759	mx	-19.421766062877822	-39.88034627821891	9552.437786623821
3	0	68f2e3307b1dd2467d0fc0f5	Etterima	4	54.678177943811484	-2.440938898524867	gb	57.91210271680095	-112.6257032654168	6024.100645005061
3	0	68f2e3307b1dd2467d0fc0f5	Etterima	5	39.995480840049055	16.383279687954406	it	43.64070140291904	6.01617062837807	949.0182455591404
4	0	68f2e3307b1dd2467d0fc0f5	Etterima	1	12.3920149	-1.5017939	bf	9.953844711661718	105.88695431556592	11620.018018546021
4	0	68f2e3307b1dd2467d0fc0f5	Etterima	2	35.2396984	46.2937951	ir	35.04636832245753	46.36415691068003	22.429125544800822
4	0	68f2e3307b1dd2467d0fc0f5	Etterima	3	34.8369446	67.7675705	af	35.87049171180393	75.82184594606879	739.2048187221221
4	0	68f2e3307b1dd2467d0fc0f5	Etterima	4	-16.390028729775917	-71.54659696923835	pe	-11.607287605128748	-76.291342693588	738.0410132232591
4	0	68f2e3307b1dd2467d0fc0f5	Etterima	5	14.3311105	46.8676828	ye	32.38628526404206	-6.261177850135608	5718.500808969566
4	0	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	1	12.3920149	-1.5017939	bf	15.129205382059716	145.69401870490597	15281.795131558505
4	0	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	2	35.2396984	46.2937951	ir	34.339972936913185	35.94287995011886	950.0730473758867
4	0	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	3	34.8369446	67.7675705	af	32.68939705161919	79.40979582117068	1101.6893601949278
4	0	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	4	-16.390028729775917	-71.54659696923835	pe	-16.416083598928246	-71.48278806507199	7.3973816004145565
4	0	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	5	14.3311105	46.8676828	ye	36.470719628189514	4.9425220083739685	4823.55139600338
4	0	61f34541904c1e0001f465da	Comte	1	12.3920149	-1.5017939	bf	21.139391041854477	-86.83311500213385	9038.346007792521
